index,title,ingredients,directions
1,amish-meatloaf,"['2 pounds ground beef', '2 1/2 cups crushed butter-flavored crackers', '1 small onion, chopped', '2 eggs', '3/4 cup ketchup', '1/4 cup brown sugar', '2 slices bacon', '1 cup ketchup', '2 tablespoons vinegar', '3/4 teaspoon salt, or to taste', '2 tablespoons prepared yellow mustard', '1/2 cup brown sugar']","Preheat the oven to 350 degrees F (175 degrees C). In a medium bowl, mix together ground beef, crushed crackers, onion, eggs, 3/4 cup ketchup, and 1/4 cup brown sugar until well blended. Press into a 9x5 inch loaf pan. Lay the two slices of bacon over the top. Bake for 1 hour in the preheated oven, or until cooked through. While the loaf bakes, mix together the remaining 1 cup ketchup, vinegar, salt, mustard and 1/2 cup brown sugar. Spread over the top of the meat loaf for the last 15 minutes of baking. "
2,baked-potato-salad,"['4 pounds potatoes, peeled', '15 slices bacon', '1 (16 ounce) container reduced-fat sour cream', '2 tablespoons mayonnaise', '2 cups shredded Cheddar cheese', '2 tablespoons dried chives', '1 teaspoon salt', '1 teaspoon ground black pepper']","Place the potatoes into a large pot and cover with lightly salted water. Bring to a boil over high heat, then reduce heat to medium-low, cover, and simmer until just tender, about 15 minutes. Drain the potatoes, and allow to cool to room temperature. Dice once cooled. Place the bacon in a large, deep skillet, and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain the bacon slices on a paper towel-lined plate. Allow to cool, and crumble the bacon into a large bowl. Place the cooled potatoes into the bowl with the bacon, and mix in the sour cream, mayonnaise, Cheddar cheese, chives, salt, and pepper. Refrigerate overnight before serving. "
3,banana-buttermilk-breakfast-muffins-topped-with-nutella,"['1 cup all-purpose flour', '1 cup whole wheat flour', '1/2 cup quick-cooking rolled oats', '2 teaspoons baking powder', '1 teaspoon baking soda', '4 over-ripe bananas, mashed', '2 eggs', '1/2 cup granulated sugar', '1/2 cup unsweetened applesauce', '1/2 cup buttermilk', '1 teaspoon vanilla or maple extract', '3/4 cup NUTELLA\xc2\xae']","Preheat oven to 350 degrees F (180 degrees C). Spray non-stick muffin pan with cooking spray. In a large bowl, combine flours, oats, baking powder and baking soda. In another bowl, whisk together bananas, eggs, sugar, applesauce, buttermilk and vanilla. Pour over dry ingredients and stir until just combined. Spoon into prepared muffin pan. Bake for 20 to 25 minutes or until a tester inserted into the center of a muffin comes out clean. Let cool in pan for 10 minutes. Transfer to rack to cool completely. Spread each muffin with 1 tablespoon (15 mL) of NUTELLA®. "
4,beas-mashed-potato-salad,"['1 (4 ounce) package Idahoan\xc2\xae Baby Reds\xc2\xae Flavored Mashed Potatoes', '1 dill pickle, finely chopped', '3 radishes, thinly sliced', '1 hard-boiled egg, sliced', '2 celery stalks, finely chopped', '2 tablespoons red onion, finely chopped', '3 tablespoons mayonnaise*', '1 tablespoon stone ground mustard', '1 teaspoon yellow mustard', 'Salt and pepper to taste', '1/4 teaspoon celery seed']","Prepare Idahoan Baby Reds following package instructions. Stir in pickles, radishes, hard-boiled egg, celery and red onion. Combine mayo and mustards in a separate bowl. mix into mashed potato mixture. Season to taste with salt and pepper and celery seed if using. "
5,beer-and-bourbon-pulled-pork-sandwiches,"['1 tablespoon paprika', '2 teaspoons onion powder', '2 teaspoons garlic powder', '2 teaspoons dried oregano', '2 teaspoons ground thyme', '1 teaspoon salt', '1 pinch ground black pepper, or to taste', '1 (3 pound) pork roast, cut into 3-inch chops', '2 1/2 tablespoons canola oil, divided', '1 1/2 teaspoons butter', '2 onions, sliced', '1 (12 fluid ounce) can or bottle wheat beer, divided', '1 pinch salt', '1 teaspoon liquid smoke flavoring', '3/4 cup barbeque sauce', '1 1/2 teaspoons Worcestershire sauce', '5 cloves garlic, minced', '2 (1.5 fluid ounce) jiggers bourbon whiskey', '3 dashes hot pepper sauce', '6 crusty bread rolls, split']","Combine paprika, onion powder, garlic powder, oregano, thyme, and salt in a small bowl; season with black pepper. Blot pork chops dry with paper towels, then rub with paprika mixture. Heat about 2 tablespoons canola oil in a non-stick skillet over medium-high heat. Fry pork chops in batches until browned, about 5 minutes per side. Transfer browned pork chops to a slow cooker. Wipe skillet clean and heat remaining 1 1/2 teaspoon canola oil and butter over medium heat; cook and stir onions, 1/2 bottle beer, and a pinch of salt until onion is tender and slightly browned, about 10 minutes. Add liquid smoke. Spread onions over pork. Mix barbeque sauce, remaining beer, Worcestershire sauce, garlic, bourbon, and hot sauce in a bowl; pour over pork. Cook pork on Low until very tender, about 8 hours. Shred and divide pork over rolls to make sandwiches. "
6,best-beef-stroganoff,"['1 (16 ounce) package egg noodles', '2 tablespoons butter, softened', '2 onions, finely chopped', '2 cloves garlic, minced', '1 (8 ounce) package fresh mushrooms, thinly sliced', '1 pound beef loin steak, cut into thin strips', '1 (14 ounce) can beef consomme', '1/4 cup Burgundy wine', '3 tablespoons lemon juice', '2 tablespoons all-purpose flour', '2 tablespoons cold water, or as needed', '1 (8 ounce) container sour cream']","Bring a large pot of lightly salted water to a boil. Add noodles and cook 5 to 7 minutes or until al dente; drain. Melt butter in a large saucepan over medium-high heat. Stir in onions and garlic, and cook until slightly tender. Mix in mushrooms, and continue cooking 2 minutes. Place steak strips in saucepan and cook about 1 minute. Mix in consomme, Burgundy and lemon juice. Bring to a boil. In a small bowl, thoroughly blend flour with cold water until smooth. Reduce saucepan heat to low. While stirring constantly, slowly pour flour mixture into saucepan. Gradually return to boil while stirring rapidly, until sauce is thick and smooth. Cover saucepan and continue cooking 5 minutes, stirring occasionally. Remove from heat, let cool slightly and stir in sour cream. Serve over cooked egg noodles. "
7,best-carrot-cake-ever,"['6 cups grated carrots', '1 cup brown sugar', '1 cup raisins', '4 eggs', '1 1/2 cups white sugar', '1 cup vegetable oil', '2 teaspoons vanilla extract', '1 cup crushed pineapple, drained', '3 cups all-purpose flour', '1 1/2 teaspoons baking soda', '1 teaspoon salt', '4 teaspoons ground cinnamon', '1 cup chopped walnuts']","In a medium bowl, combine grated carrots and brown sugar. Set aside for 60 minutes, then stir in raisins. Preheat oven to 350 degrees F (175 degrees C). Grease and flour two 10 inch cake pans. In a large bowl, beat eggs until light. Gradually beat in the white sugar, oil and vanilla. Stir in the pineapple. Combine the flour, baking soda, salt and cinnamon, stir into the wet mixture until absorbed. Finally stir in the carrot mixture and the walnuts. Pour evenly into the prepared pans. Bake for 45 to 50 minutes in the preheated oven, until cake tests done with a toothpick. Cool for 10 minutes before removing from pan. When completely cooled, frost with cream cheese frosting. "
8,beths-meat-loaf,"['2 eggs, beaten', '3/4 cup milk', '1/2 cup dry bread crumbs', '1/4 cup chopped onion', '1 teaspoon salt', '1 teaspoon ground black pepper', '1/2 teaspoon crumbled dried sage', '1 1/2 pounds ground beef', '1/2 cup ketchup', '2 tablespoons brown sugar', '1 teaspoon dry mustard powder']","Preheat oven to 350 degrees F (175 degrees C). Grease a 9x5-inch loaf pan. In a bowl, lightly mix the beaten eggs, milk, bread crumbs, onion, salt, black pepper, and sage together until thoroughly combined. Gently work in the ground beef until mixed; press the meat mixture into the prepared loaf pan. Bake in the preheated oven until the loaf is no longer pink inside and the juices run clear, about 50 minutes. An instant-read thermometer inserted into the center of the loaf should read at least 160 degrees F (70 degrees C). While the meat loaf is baking, mix together the ketchup, brown sugar, and dry mustard powder in a bowl until the sugar has dissolved. When loaf is done, pull from the oven, and spread topping over the loaf. Return to oven, and bake until the topping is set, about 10 more minutes. "
9,campbells-slow-cooked-pulled-pork-sandwiches,"['1 tablespoon vegetable oil', '3 1/2 pounds boneless pork shoulder roast, netted or tied', ""1 (10.5 ounce) can Campbell's\xc2\xae Condensed French Onion Soup"", '1 cup ketchup', '1/4 cup cider vinegar', '3 tablespoons packed brown sugar', '12 round sandwich rolls or hamburger rolls, split']","Heat the oil in a 10-inch skillet over medium-high heat. Add the pork and cook until it's well browned on all sides. Stir the soup, ketchup, vinegar and brown sugar in a 5-quart slow cooker. Add the pork and turn to coat. Cover and cook on LOW for 8 to 9 hours* or until the pork is fork-tender. Remove the pork from the cooker to a cutting board and let stand for 10 minutes. Using 2 forks, shred the pork. Return the pork to the cooker. Divide the pork and sauce mixture among the rolls. "
10,chili-iv,"['1 1/2 pounds ground beef', '1 tablespoon vegetable oil', '1/2 teaspoon salt', '1 (10.5 ounce) can condensed French onion soup', '1 tablespoon chili powder', '2 teaspoons ground cumin', '1/2 teaspoon ground black pepper', '1 (6 ounce) can tomato paste', '1 (8 ounce) can tomato sauce', '2 (15 ounce) cans kidney beans', '2 teaspoons unsweetened cocoa', '1 cup cola-flavored carbonated beverage']","In a deep skillet or large saucepan, cook beef with oil and salt over medium heat until brown. Meanwhile, puree French onion soup in a blender until smooth. Drain meat. Stir pureed soup into meat, reduce heat and simmer 5 minutes. Stir in chili powder, cumin, pepper, tomato paste, tomato sauce, and beans until well combined. Stir in cocoa and cola. Heat through and serve. "
