index,title,ingredients,directions
1,parmesan-oregano-deviled-eggs,"['6 eggs', '1/3 cup light mayonnaise', '3 tablespoons Dijon mustard', '1 tablespoon grated Parmesan cheese, or to taste', '1 teaspoon dried oregano', '1 dash hot pepper sauce', 'salt and ground black pepper to taste', '2 tablespoons shredded Cheddar cheese, or as desired', '1 pinch paprika, or as desired']","Place eggs in a saucepan; cover with water. Bring to a boil, remove from heat, and let eggs stand in hot water for 15 minutes. Remove eggs from hot water, cool under cold running water, and peel. Cut each egg in half lengthwise; place egg yolks in a bowl. Mash yolks with a fork; stir in mayonnaise, Dijon mustard, Parmesan cheese, oregano, and pepper sauce; season with salt and pepper. Arrange egg whites cut-side up on a serving platter. Spoon yolk mixture into a resealable plastic bag; snip off one corner of the bag, and pipe filling into egg white halves. Sprinkle deviled eggs with Cheddar cheese and paprika. "
2,kimberlys-curried-deviled-eggs,"['6 eggs', '1/4 cup mayonnaise', '1 tablespoon stone-ground mustard, or to taste', '1 teaspoon curry powder', '1/2 teaspoon dried parsley', '1 tablespoon sweet pickle relish', '1/4 teaspoon ground black pepper', 'paprika for garnish']","Place the eggs into a saucepan in a single layer and fill with water to cover the eggs by 1 inch. Cover the saucepan and bring the water to a boil over high heat. Remove from the heat and let the eggs stand in the hot water for 15 minutes. Drain. Cool the eggs under cold running water. Peel once cold. Halve the eggs lengthwise and scoop the yolks into a bowl. Mash the yolks with a fork. Stir the mayonnaise, mustard, curry powder, parsley, pickle relish, and pepper into the egg yolks until combined; spoon into the egg white halves. Garnish with paprika. Chill before serving. "
3,spicy-deviled-eggs,"['12 eggs', '1 1/2 tablespoons Dijon mustard', '1 1/2 tablespoons mayonnaise', '1/2 teaspoon Worcestershire sauce', '1/2 teaspoon hot pepper sauce, or to taste', '1 pinch salt and black pepper', '1/4 teaspoon ground paprika, for dusting (divided)', '1 (6 ounce) can black olives, drained and cut in half horizontally']","Place eggs in a saucepan with a lid, pour in water to cover, bring to a boil, and remove from the heat. Cover and let stand for 10 to 12 minutes. Remove eggs from hot water and let cool. Peel the eggs. Cut each egg in half lengthwise, remove the yolks, and place the yolks in a bowl with the mustard, mayonnaise, Worcestershire sauce, hot pepper sauce, and salt and pepper. Mash the yolks, and stir the mixture until smooth and thoroughly combined. Fill each egg half with the deviled yolk mixture, using a spoon, piping bag, or a sturdy plastic bag with a corner cut off. Dust each egg with a pinch of paprika, and place an olive half, round side up, in the center of each. Refrigerate until chilled, 20 to 30 minutes, and serve cold. "
4,greek-deviled-eggs,"['12 eggs', '3/4 cup mayonnaise', '3/4 cup crumbled feta cheese, or to taste', '1/2 cup chopped fresh basil, or to taste', '1 tomato, diced', '10 black olives, diced', '2 tablespoons balsamic vinegar', '1 tablespoon ground black pepper, or to taste']","Place eggs in a saucepan; cover with water. Bring to a boil, remove from heat, and let eggs stand in hot water for 15 minutes. Remove eggs from hot water, cool under cold running water, and peel. Cut each egg in half lengthwise; place egg yolks in a bowl. Mash yolks with a fork. Stir mayonnaise, feta cheese, basil, tomato, black olives, and balsamic vinegar together in a bowl; stir in mashed yolks. Spoon yolk mixture into a resealable plastic bag; snip off one corner of the bag. Place egg whites cut-side up on a serving platter. Pipe yolk mixture into egg whites. Season deviled eggs with black pepper; garnish with additional chopped basil and crumbled feta cheese. "
5,buffalo-ranch-deviled-eggs,"['6 eggs', '1/4 cup ranch salad dressing', '1 teaspoon hot Buffalo wing sauce, or to taste', '1 pinch cayenne pepper, or to taste', '1 stalk celery']","Place eggs in a saucepan; cover with water. Bring to a boil, remove from heat, and let eggs stand in hot water for 15 minutes. Remove eggs from hot water, cool under cold running water, and peel. Cut each egg in half lengthwise; place egg yolks in a bowl. Mash yolks with a fork; stir in ranch dressing and hot Buffalo sauce until smooth. Spoon yolk mixture into a resealable plastic bag; snip off one corner of the bag. Place egg white halves cut-side-up on a serving platter; pipe yolk mixture into whites. Sprinkle with cayenne pepper. Cut celery into tiny stalks and place one on top of each egg. "
6,simple-deviled-eggs,"['6 hard-cooked eggs', '2 tablespoons mayonnaise', '1 teaspoon white sugar', '1 teaspoon white vinegar', '1 teaspoon prepared mustard', '1/2 teaspoon salt', '1 tablespoon finely chopped onion', '1 tablespoon finely chopped celery', '1 pinch paprika, or to taste']","Slice eggs in half lengthwise and remove yolks; set whites aside. Mash yolks with a fork in a small bowl. Stir in mayonnaise, sugar, vinegar, mustard, salt, onion, and celery; mix well. Stuff or pipe egg yolk mixture into egg whites. Sprinkle with paprika. Refrigerate until serving. "
7,sweet-deviled-eggs,"['6 large eggs', 'ice cubes', '3 tablespoons mayonnaise', '1 tablespoon white sugar', '1 teaspoon honey mustard', '1 teaspoon vinegar', '1/2 teaspoon salt', '1/2 teaspoon ground black pepper', '1 pinch paprika, for garnish']","Place eggs in a saucepan and cover with water. Bring to a boil, remove from heat, and let eggs stand in hot water for 15 minutes. Remove eggs from hot water and place in a bowl of ice water. Peel. Slice eggs in half lengthwise. Remove yolks and transfer to a bowl; mash with a fork or pastry blender until yolks resemble powder. Stir mayonnaise, sugar, honey mustard, vinegar, salt, and pepper into yolks until smooth. Spoon yolk mixture into the egg whites and lightly sprinkle with paprika. Chill before serving. "
8,sriracha-deviled-eggs,"['12 eggs', '2 tablespoons mayonnaise, or as needed', '2 tablespoons Sriracha hot chili sauce, or more to taste', '1/8 teaspoon dry mustard', '1 pinch cayenne pepper, or to taste', 'salt to taste', '1 pinch smoked paprika, or to taste']","Place eggs in a saucepan; cover with water. Bring to a boil, remove from heat, and let eggs stand in hot water for 15 minutes. Remove eggs from hot water, cool under cold running water, and peel. Cut eggs in half lengthwise; place egg yolks in a small bowl. Mash yolks with a fork; stir mayonnaise, Sriracha sauce, dry mustard, and cayenne pepper into yolks until smooth; season with salt. Spoon yolk mixture into a resealable plastic bag; snip off one corner of the bag. Place egg whites cut-side up on a serving platter. Pipe the yolk mixture into egg white halves; sprinkle with smoked paprika. Refrigerate deviled eggs, covered, until ready to serve. "
9,curried-deviled-eggs,"['24 eggs', '1/2 cup mayonnaise', '1/4 cup prepared yellow mustard', '2 tablespoons horseradish sauce', '2 teaspoons curry powder', '1 teaspoon poppy seeds', '1 teaspoon chicken bouillon granules', '1/2 teaspoon ground coriander', '1/2 teaspoon dried minced onion', '1/2 teaspoon salt', '1/4 teaspoon ground black pepper', '1/4 teaspoon ground turmeric']","Place eggs into a large saucepan in a single layer and fill with water to cover the eggs by 1 inch. Cover the saucepan and bring the water to a boil. Remove from heat and let the eggs stand in the hot water for 15 minutes. Drain the hot water; run cold water over the eggs to cool. Peel once cold. Slice the eggs in half lengthwise; separate the whites and the yolks. Arrange the whites on a large platter; place the egg yolks in a large bowl. Mash the yolks with a fork until smooth; stir the mayonnaise, mustard, horseradish sauce, curry powder, poppy seeds, chicken bouillon granules, coriander, dried minced onion, salt, pepper, and turmeric into the mashed yolks until smooth. Chill the mixture in the refrigerator for 30 minutes. Spoon the yolk mixture into a heavy plastic bag; snip a corner off the bag to create a 1/2-inch opening. Pipe the yolks into the egg white halves. Serve cold. "
10,bread-and-butter-pickle-deviled-eggs,"['6 hard-boiled eggs', '1/4 cup mayonnaise', '2 tablespoons sliced bread-and-butter pickles', '1 tablespoon honey mustard, or more to taste', '1/4 teaspoon ground black pepper', '1 pinch paprika, or as needed']","Halve eggs lengthwise. Carefully remove yolks to a small bowl and mash with a fork; add mayonnaise, pickles, honey mustard, and black pepper. Blend the mixture until smooth. Scoop yolk mixture into egg halves; garnish with paprika. Keep refrigerated until ready to serve. "
